id,Global,Country,City,Mission,PrimaryCollegeOrSchool,PrimaryDepartmentOrCenter,ContactName,ContactEmail,ContactPosition,ProjectAcronym,ProjectTitle,ProjectWebsite,InternationalNetwork,InternationalInstitution,PrimaryFundingAgency,IRB,LOA,DTA,MOU,MTA,OtherAgreementType,NumStudentsTraveled,NumResidentsTraineesTraveled,NumFacultyInvolved,StartYear,EndYear,Description,Location,latitude,longitude
1,No,Argentina,Buenos Aires,Research,School of Medicine,Pediatrics,Sandra Luna-Fineman,,,,,,,Claudia Sampor (Argentina),,,,,,,,,,,,,"Writing an guideline and implementation stratagy for the diagnosis, treatment and support of retinoblastoma in Latin America (collaboration between AHOPCA and GALOP (Grupo de America Latina de Oncologia Pediatrica); Retinoblatoma Guideline Protocol at 3 levels of care according to resources for AHOPCA and SLAOP","Buenos Aires, Argentina",-34.6090264,-58.3732215
2,No,Australia,Sydney,Research,College of Nursing,,"Teri L. Hernandez, PhD, RN",,,,,,,University of Sydney and Western Sydney University,,,,,,,,,,,,,"Research collaboration, University of Sydney, Australia. Mentor/co-advisement of PhD students; Research collaboration, Western Sydney University, Australia","Sydney, Australia",-33.8727635,151.2053446
3,No,Australia,Brisbane,Education,School of Medicine,GME,,,,,,,,,,,,,,,,,,,,,"GME Resident International Conference. Brisbane, Australia (Oceania) Start Date: 03/17/2023 - End Date: 03/30/2023","Brisbane, Australia",-27.4700266,153.0229773
4,No,Australia,,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,Assistant Dean Kimberly Stultz,,,,,,,,,,,,,,,,,,,,"Our Program offers ELPD students an opportunity to go international for a 6-week rotation if desired. Covid hampered this program for a few years, but the class of 2024 is back in normal with travel and opportunity. We don't have a set partnering instituion, and we have sent students to recurring sites and ""one-off"" sites in the past. We work with the Campus Global Services to ensure the students are follwoing campus travel guidelines as far as allowed locations and submitting the application so that campus knows when and where they are going and with whom they are rotating with. The class of 2024 has 17 students completing an international rotation in 10 different countries this year. We are working on building a network of known collaborative sites and offering those, versus networking ""one-off"" sites every year. The ten countries represented by this class cohort are Australia, Canada, Costa Rica, Greece, South Korea, Guatemala, New Zealand, Ireland and Japan.",Australia,-25.70993157,134.4840312
5,No,Australia,Gold Coast,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,,,,,,,,,,,,,,"International Student Travel, Gold Coast, Australia (Australia/Pacific Islands) Start Date: 11/13/2023 - End Date: 12/24/2023","Gold Coast, Australia",-28.03301571,153.2964432
6,No,Australia,Hastings,Education,Skaggs School of Pharmacy and Pharmaceutical Sciences,,,,,,,,,"Australia - Hastings Medical Centre, HPS Pharmacies, and Princess Alexandra Hospital",,,,,,,,,,,,,"Affiliation Agreement with Australia - Hastings Medical Centre, HPS Pharmacies, and Princess Alexandra Hospital","Hastings, Australia",-38.307583,145.190201
7,No,Bangladesh,,Education,College of Nursing,,Pam Prag,,,,,,,,,,,,,,,,,,,,"Potential site for UG Comm/Pop Health clinical immersion, research, DNP student placement",Bangladesh,23.80467048,90.2884539
8,No,Bosnia & Herzegovina,Sarajevo,Education,Colorado School of Public Health,,Annie Miller,,,,,,,Univeristy of Sarajevo,,,,,,,,,,,,,"Summer study abroad, exchange of faculty","Sarajevo, Bosnia & Herzegovina",44.16825412,17.78524992
9,No,Botswana,Gaborone,Research,College of Nursing,,"Christina Sun, PhD",,,,,,,University of Botswana,,,,,,,,,,,,,Conduct a 3-arm randomized controlled trial with 500 families to test a multilevel HIV prevention intervention. Partnering institution = University of Botswana; Location = Botswana,"Gaborone, Botswana",-24.6611781,25.9117509
10,No,Botswana,Gaborone,Education,College of Nursing,,"Christina Sun, PhD",,,,,,,University of Botswana,,,,,,,,,,,,,Conduct interviews with LGBT adults that utilize their photographs to understand continued health disparities. Partnering institutions = National Taiwan University and University of Botswana; Locations = Taiwan and Botswana,"Gaborone, Botswana",-24.6611781,25.9117509
